,Region URLs,Initial region Names
0,https://www.thecrag.com/en/climbing/spain/area/1846636608,Andalucia
1,https://www.thecrag.com/en/climbing/spain/aragon,Aragon
2,https://www.thecrag.com/en/climbing/spain/oviedo-area,Asturias
3,https://www.thecrag.com/en/climbing/spain/baleares-islands,Islas Baleares
4,https://www.thecrag.com/en/climbing/spain/islas-canarias-canary-islands,Islas Canarias
5,https://www.thecrag.com/en/climbing/spain/bilbao-burgos-area,Cantabria
6,https://www.thecrag.com/en/climbing/spain/toledo-salamanca-area,Castilla y Leon
7,https://www.thecrag.com/en/climbing/spain/area/1846242474,Castilla la Mancha
8,https://www.thecrag.com/en/climbing/spain/area/1842437106,Cataluña
9,https://www.thecrag.com/en/climbing/spain/area/1846162401,Comunidad Valenciana
10,https://www.thecrag.com/en/climbing/spain/area/1846641165,Extremadura
11,https://www.thecrag.com/en/climbing/spain/vigo-a-coruna-area,Galicia
12,https://www.thecrag.com/en/climbing/spain/madrid-area,Madrid
13,https://www.thecrag.com/en/climbing/spain/area/1846222632,Murcia
14,https://www.thecrag.com/en/climbing/spain/area/1846647399,Navarra
15,https://www.thecrag.com/en/climbing/spain/pamplona-vitoria-gasteiz-area,Pais Vasco
16,https://www.thecrag.com/en/climbing/spain/area/1846642104,La Rioja
